Algorithm,Average_Solved,Average_Depth,Average_Expanded_Nodes,Average_Max_Fringe_Size,Average_Time
A* (misplacedTiles),1.0,18.2,11128.65,10768.35,0.19971288442611695
A* (euclideanDistance),1.0,18.2,525.45,515.45,0.0190828800201416
A* (manhattanDistance),1.0,18.2,335.0,325.85,0.010126209259033203
A* (rowColumnHeuristic),1.0,18.2,1320.7,1300.2,0.031889259815216064
A* (linearConflict),1.0,18.7,1057.0,1073.55,0.049952709674835206
DFS,0,0,0,0,0
BFS,1.0,14.2,206820.1,197857.9,2.3172930479049683
UCS,1.0,13.777777777777779,100651.44444444444,89523.11111111111,1.424854490492079
