Scenario,Algorithm,Solved,Moves,Expanded_Nodes,Max_Fringe_Size,Time
"[2, 6, 3, 4, 1, 0, 7, 8, 5, 13, 12, 15, 10, 9, 14, 11]",A* (linearConflict),True,16,22,23,0.002288818359375
"[2, 6, 3, 4, 1, 0, 7, 8, 5, 13, 12, 15, 10, 9, 14, 11]",DFS,False,0,21543,20465,10.000694274902344
"[2, 6, 3, 4, 1, 0, 7, 8, 5, 13, 12, 15, 10, 9, 14, 11]",BFS,True,16,350745,335445,3.6934573650360107
"[2, 6, 3, 4, 1, 0, 7, 8, 5, 13, 12, 15, 10, 9, 14, 11]",UCS,True,16,221474,195887,3.085151433944702
"[0, 1, 3, 4, 5, 2, 7, 8, 9, 6, 12, 15, 13, 11, 10, 14]",A* (misplacedTiles),True,12,56,63,0.0
"[0, 1, 3, 4, 5, 2, 7, 8, 9, 6, 12, 15, 13, 11, 10, 14]",A* (euclideanDistance),True,12,13,15,0.0
"[0, 1, 3, 4, 5, 2, 7, 8, 9, 6, 12, 15, 13, 11, 10, 14]",A* (manhattanDistance),True,12,13,15,0.0013828277587890625
"[0, 1, 3, 4, 5, 2, 7, 8, 9, 6, 12, 15, 13, 11, 10, 14]",A* (rowColumnHeuristic),True,12,17,20,0.0020265579223632812
"[0, 1, 3, 4, 5, 2, 7, 8, 9, 6, 12, 15, 13, 11, 10, 14]",A* (linearConflict),True,12,19,20,0.0019865036010742188
"[0, 1, 3, 4, 5, 2, 7, 8, 9, 6, 12, 15, 13, 11, 10, 14]",DFS,False,0,22331,21217,10.019895553588867
"[0, 1, 3, 4, 5, 2, 7, 8, 9, 6, 12, 15, 13, 11, 10, 14]",BFS,True,12,12073,12257,0.1182401180267334
"[0, 1, 3, 4, 5, 2, 7, 8, 9, 6, 12, 15, 13, 11, 10, 14]",UCS,True,12,9015,8364,0.09203195571899414
"[1, 2, 3, 4, 5, 7, 11, 8, 14, 6, 13, 12, 9, 10, 15, 0]",A* (misplacedTiles),True,16,718,745,0.0068683624267578125
"[1, 2, 3, 4, 5, 7, 11, 8, 14, 6, 13, 12, 9, 10, 15, 0]",A* (euclideanDistance),True,16,155,164,0.009215116500854492
"[1, 2, 3, 4, 5, 7, 11, 8, 14, 6, 13, 12, 9, 10, 15, 0]",A* (manhattanDistance),True,16,134,138,0.003980398178100586
"[1, 2, 3, 4, 5, 7, 11, 8, 14, 6, 13, 12, 9, 10, 15, 0]",A* (rowColumnHeuristic),True,16,193,198,0.00498509407043457
"[1, 2, 3, 4, 5, 7, 11, 8, 14, 6, 13, 12, 9, 10, 15, 0]",A* (linearConflict),True,16,186,211,0.007294178009033203
"[1, 2, 3, 4, 5, 7, 11, 8, 14, 6, 13, 12, 9, 10, 15, 0]",DFS,False,0,22340,21214,10.001591444015503
